movieId,rating
279718,4.0
213898,4.0
215353,2.5
225145,4.5
215685,5.0
225625,5.0
230231,4.0
267456,2.5
287227,2.0
215353,4.0
225625,3.5
215353,4.5
278980,4.0
225625,2.5
225625,3.5
225145,3.0
213213,3.0
215685,3.5
225625,3.5
225145,3.0
266788,3.0
282381,2.0
213898,0.5
224519,0.5
234957,0.5
241552,0.5
241954,0.5
242060,0.5
242396,0.5
279710,5.0
215353,2.0
225145,4.0
267456,3.0
278980,4.0
240224,4.0
275503,3.0
258881,5.0
275503,5.0
277908,4.5
225625,3.5
278980,3.0
225625,4.0
215353,4.0
225145,5.0
225625,1.5
225625,4.0
225625,3.5
280856,3.0
225145,3.0
239254,4.5
254722,1.0
257037,5.0
258881,5.0
268864,1.0
269208,4.0
225625,4.0
225145,4.0
215353,5.0
225625,5.0
215353,4.0
225625,3.0
213898,3.0
215353,2.0
224200,3.5
224338,4.0
224643,4.0
224649,3.0
225145,3.5
229483,2.5
231305,3.5
225762,3.0
234957,4.0
236111,3.5
236117,3.5
237223,3.0
238184,3.5
243412,4.0
243838,3.0
254424,3.5
257037,4.0
264135,3.0
268800,3.0
273803,3.5
278980,3.5
257037,4.5
285833,3.0
266788,3.0
215353,3.5
215685,2.5
225145,3.5
225625,3.0
236111,3.5
236117,3.0
266788,2.5
267456,3.5
264135,4.0
275637,3.5
239254,4.0
266788,5.0
267456,4.5
225145,3.0
225145,4.0
278980,4.0
279710,3.5
230231,2.5
213213,2.5
225485,4.5
217597,3.0
275515,4.0
213898,4.0
218675,3.5
225145,4.5
225625,3.0
229483,4.0
258881,5.0
225625,3.5
229799,3.5
259751,4.0
264135,4.0
290129,4.0
225625,2.0
225145,4.0
225625,3.5
279542,5.0
210469,2.0
213898,3.5
215055,2.5
218675,3.5
224338,4.0
245136,2.0
265150,3.0
266788,3.0
279710,3.5
283137,4.0
213898,4.5
225145,4.0
267456,5.0
229207,3.0
220956,5.0
215353,5.0
225625,3.0
267456,3.5
215353,3.0
