movieId,tag
225762,long shots
225762,long takes
234957,independent film
234957,marriage crisis
234957,separation
236111,fitness
236111,loneliness
236111,social media
238184,celebrity
238184,innovative
238184,social media
243412,computers
243412,coronavirus
243412,dialogue driven
243412,modern technology
243412,scam
243412,talky
243412,unconventional
243838,black and white
243838,church
243838,communism
243838,eastern europe
257037,based on short story
257037,husband wife relationship
257037,theater
257037,theatre play
264135,coming of age
268800,loneliness
273803,cinema
273803,film and cinema
273803,movie theater
220956,Africa
220956,immigration
220956,poverty
220956,realistic
220956,Social Classes 
220956,social commentary
220956,thought-provoking
220956,tragedy
224721,death penalty
224721,Iran
267456,A24
267456,Brendan Fraser
267456,family relationships
267456,father daughter relationship
267456,great performance
267456,self destructiveness
257037,infidelity
257037,theater
225625,mockumentary
225625,political
267456,family relationships
267456,great performance
267456,sad
267456,self destructiveness
225145,grief
220956,realistic
220956,social commentary
220956,thought-provoking
225145,atmospheric
225145,bad ending 
225145,based on novel or book
225145,community
225145,existential
225145,father-son relationship
225145,friendship
225145,great acting
225145,grief
225145,homeless
225145,loneliness
225145,loss
225145,no ending
225145,nomadism
225145,not a story
225145,realistic
225145,recession
225145,reflective
225145,sister relationship
225145,social commentary
225145,survival
225145,unemployment
225625,american idiocy
225625,Bechdel Test:Pass
225625,comedy
225625,conspiracy theory
225625,coronavirus
225625,COVID-19
225625,father daughter relationship
225625,feminism
225625,mockumentary
225625,political
225625,prank
225625,presidential election
225625,sarcastic
225625,sequel
225625,social commentary
225625,social satire
225625,some acted scenes
225625,travel
257037,happiness
257037,keep going
257037,loneliness
257037,obvious message
257037,slow paced
257037,too long
257037,infidelity
257037,Japan
257037,loss of loved one
257037,slow paced
266788,europe
266788,mental health
266788,motherhood
266788,Olivia Colman
225145,American West
263403,difficult
263403,Iran
263403,kafkaesque
275503,observational cinema
288147,hypocrisy
288147,straw man
288147,trauma porn
288147,white guilt
267456,Brendan Fraser
267456,Darren Aronofsky
267456,sad
278314,jump scares
278314,killing off main characters 
278314,plot holes
278314,social commentary
278314,time skip jump cuts
278314,too long
215353,a24
257037,slow paced
257037,too long
258881,black and white
258881,Gaby Hoffman
258881,Joaquin Phoenix
258881,kids
258881,uncle nephew relationship
265150,based on a play
265150,depressing
285833,dark comedy
267218,Korean
267456,Darren Aronofsky
215353,1980s
215353,atmospheric
215353,cinematography
215353,emotional
215353,rural setting
215353,slice of life
225145,existential
225145,romanticised poverty
210469,Atlanta
210469,chick flick
210469,female lead
210469,horrible music
210469,strong female lead
213898,abortion
213898,strong female lead
213898,teenage girl
213898,teenage pregnancy
213898,woman director
224338,birth
224338,boring
224338,Boston
224338,Canadian
224338,childbirth
224338,courtroom scene
224338,death
224338,death of a child
224338,female writer
224338,feminist
224338,feminist propaganda
224338,filmed in Canada
224338,grief
224338,home birth
224338,marriage crisis
224338,Massachusetts
224338,motherhood
224338,too long
225145,amateur actors
225145,American West
225145,banjo
225145,based on novel or book
225145,boring
225145,existential
225145,homeless
229483,1960s
229483,black actors
229483,black history
229483,civil rights
229483,female director
229483,fictional history
229483,period piece
230111,based on novel or book
230111,Canadian
230111,filmed in Montreal
244966,coming of age
244966,death
244966,death of a parent
244966,drinking
244966,female protagonist
244966,grief
244966,high school
244966,loss of virginity
244966,oregon
244966,Portland
244966,sex
244966,slut
244966,teenage girl
244966,teenagers
245136,coming of age
245136,dopeheads
245136,female director
245136,female writer
245136,lesbians
245136,LGBTQ+
245136,Los Angeles
245136,preachy
245136,school shooting
245136,therapy
253272,female director
253272,female protagonist
253272,female writer
254722,Mexico
254722,New Mexico
254722,rodeo star
259751,bisexual
259751,bisexuality
259751,civil war
259751,motherhood
259751,rape
259751,single mother
259751,Spain
259751,Spanish Civil War
259751,subtitles
259751,unconventional romance
262799,animated sequence
262799,female director
262799,female writer
262799,New York City
262799,postpartum depression
262799,suicide
274297,Cult
274297,female writer
274297,New Mexico
287731,2016 election
287731,female director
287731,female writer
287731,information leak
287731,intelligence agent
287731,liberal propaganda
280382,Miserable
225625,comedy
225625,feminism
225625,mockumentary
225625,social satire
222591,based on a true story
222591,chess
222591,diversity
222591,interview with actual inspirations
222591,overcoming adversity
222591,Stressful
222591,teacher
222591,unexpected death
245136,female director
245136,Jenna Ortega
245136,LGBTQ+
245136,liberal
245136,Maddie Ziegler
245136,real
245136,sad
245136,school shooting
245136,survivor
257037,red car
257037,saab
275503,amphitheater
275503,depression
275503,foreshadowing
275503,slow
275503,unusual narrative framing
213898,realistic
213898,teenage pregnancy
215353,farm
215353,korean american
215685,funny
224338,marriage crisis
225145,community
225145,realistic
225625,comedy
229483,civil rights
229483,history
230231,drama
245136,coming of age
245136,school shooting
254722,mexico
254722,rodeo star
257037,driver
257037,Japan
258881,Joaquin Phoenix
258881,uncle nephew relationship
259751,motherhood
259751,Spanish Civil War
264135,coming of age
264135,Italian
266788,children
266788,confusing
266788,Greece
266788,mother-daughter relationships
267456,emotional
267456,sad
269208,Bill Nighy
269208,drama
275193,farmer
275193,Ireland
275503,father daughter relationship
278980,family relationships
278980,Movies
279710,abuse
279710,religion
224338,boring
224338,childbirth
224338,death of a child
224338,emotional
224338,grief
224338,home birth
224338,slow
224338,Tragedy 
224338,Tragedy porn
224338,understated
225485,frenemies
225485,friends
225485,gay
225485,homophobia
225485,internalized homophobia
225485,lgbt
225485,party
225485,queer
225485,self-hatred
225485,self-loathing
257037,husband wife relationship
257037,Japan
257037,japanese
257037,slow paced
257037,subtle
257037,theater
257037,theatre play
257037,too long
278278,drama
278278,not funny
278278,regina hall great
278278,sad
278278,sterling brown great
225625,comedy
225625,father daughter relationship
225625,feminism
225625,feminist
225485,1960s
225485,based on a play
225485,frenemies
225485,friends
225485,gay
225485,homosexuality
225485,internalized homophobia
225485,lgbt
225485,New York City
225485,NYC
225485,party
225485,self-loathing
225625,mockumentary
225625,american idiocy
225625,eastern europe
225625,sequel
225625,stereotyped characters
225625,stereotypes
236117,depressing
236117,emptiness
236117,porn industry
236117,regret
236117,sad
236117,sadism
236117,violence against women
240224,bombs
240224,channel tunnel
240224,cliche characters
240224,Corrupt Government
240224,corrupt politician
240224,drones
240224,eurotunnel
240224,evil corporation
240224,massacre
240224,oil industry
240224,plot holes
240224,prime minister of color
240224,psycopath
240224,simple plot
240224,special forces
240224,terrorism
240224,tunnel
267456,homosexuality
267456,lgbt
267456,loneliness
267456,masturbation
267456,obesity
267456,overeating
267456,sad
267456,self destructiveness
267456,self-destruction
267456,single location
287571,estonian
287571,remake
287571,siin me oleme
266788,thought-provoking
266788,well acted
215353,american dream
215353,arkansas
215353,debt
215353,faith
215353,family tension
215353,farm
215353,grandmother grandson relationship
215353,husband wife relationship
215353,korean american
215353,marital problems
215353,rural setting
215353,steven yeun
215353,unhappy marriage
257037,aimless
257037,based on short story
257037,grief
257037,infidelity
257037,mourning
257037,slow paced
257037,theater
257037,too long
267456, Sadie Sink
267456,Brendan Fraser
267456,Darren Aronofsky
267456,family relationships
267456,lgbt
267456,sad
267456,self destructiveness
225145,American West
225145,chloe zhao
225145,community
225145,existential
225145,Frances McDormand
225145,great acting
225145,lifestyle
225145,nomadism
225145,Oscar (Best Directing)
225145,Oscar (Best Picture)
225145,realistic
229483,amazon
229483,black actors
229483,black history
229483,civil rights
229483,dialogue driven
229483,history
229483,moving
229483,one-room
229483,period piece
229483,philosophical
229483,thought-provoking
266788,too slow
266788,well acted
250852,coming of age
225485,1960s
225485,based on a play
225485,depressing
225485,gay
225485,Gay Character
225485,Gay Lead Character
225485,gay romance
225485,homoerotic
225485,homophobic
225485,homosexuality
225485,lgbt
225485,LGBT character
225485,melodramatic
225485,New York City
225485,NYC
225625,comedy
225625,coronavirus
225625,COVID-19
225625,documentary
225625,feminism
225625,Khazistan
225625,mockumentary
225625,political
225625,president
225625,social commentary
225625,Trump
225625,United States
229953,british comedy
229953,geeky
229953,heist
229953,low budget
225145,boring
229483,black actors
229483,black history
229483,history
229483,malcolm x
213898,important
213898,realistic
213898,slow burn
213898,strong female lead
214854,good soundtrack
214854,Netflix
214854,predictable
215353,wholesome
215685,Eric André
215685,funny
225145,Frances McDormand
225145,realistic
258881,A24
258881,Gaby Hoffman
258881,Joaquin Phoenix
258881,kids
258881,Mike Mills
258881,Woody Norman
267456,Brendan Fraser
267456,Hong Chau
267456,Sadie Sink
278980,coming of age
278980,high school
278980,jewish
278980,movies
282711,boring
282711,house party
282711,illuminati
282711,New Line Cinema
225625,comedy
225145,boring
225625,american flag
225625,comedy
225625,irreverent
225625,presidential election
225625,Republicans
216515,1970s
216515,based on a true story
216515,Political Thriller
215353,1980s
215353,Acting 
215353,allegorical
215353,allegory
215353,ambition
215353,american dream
215353,atmospheric
215353,baptism
215353,Bear trials
215353,bigger dreams
